checkpoint_id,scope,relative_path,filename,size_bytes,sha256,safe_load_status,top_level_type,top_level_keys,state_dict_prefix,tensor_count,parameter_tensor_count,primary_category,suspected_mu,suspected_epoch,suspected_model,has_reg_head,has_cls_head,has_light_branch,num_classes,regression_output_dimension,reg_head_shape,cls_head_shape,model_compatible,has_optimizer,has_epoch,has_config,additional_flags,notes
sha256:c8364a22670a4a2828b4,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_19.pth,checkpoint_epoch_19.pth,97552805,c8364a22670a4a2828b4289d64e4c1ad29e1f798ca503073bc675d1f5805a1b6,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,19,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:eac59ccc6573c6e37908,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_2.pth,checkpoint_epoch_2.pth,97551360,eac59ccc6573c6e37908067c7cc24d22116415eaa5dffbbca50adbbe1d3ee0ab,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,2,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:88e311f1aa3dc2a35810,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_20.pth,checkpoint_epoch_20.pth,97552805,88e311f1aa3dc2a35810e6ee0a0b2e72d660f0ce73ca744aaeb9bc275fe00c89,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,20,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:d9582d5e93d16dcd7faf,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_21.pth,checkpoint_epoch_21.pth,97552805,d9582d5e93d16dcd7faf47f9861c99e42d49be77bf4654a0cfb0f3485d0db3cf,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,21,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:ef6f11507b33b11f5dec,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_22.pth,checkpoint_epoch_22.pth,97552805,ef6f11507b33b11f5dec6f0dede64ebd1108b5907b32e1c690b0e0ec5955c441,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,22,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:48e72f29876acdcf7ce4,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_23.pth,checkpoint_epoch_23.pth,97552805,48e72f29876acdcf7ce4890e81963a3d637bc2eb16f400b1bf15483323b825e2,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,23,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:efccae8c6981a33dd6df,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_24.pth,checkpoint_epoch_24.pth,97552805,efccae8c6981a33dd6df69402ffa298ed6f7b575f33befe66bd2456b0a49b278,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,24,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:5baa1438e941721668ad,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_25.pth,checkpoint_epoch_25.pth,97552805,5baa1438e941721668ade3754a6f65c4412202eb4f35346d4cafde6e8f83e3b1,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,25,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:e8cf8c9b08d9147ba9f3,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_26.pth,checkpoint_epoch_26.pth,97552805,e8cf8c9b08d9147ba9f308e3cca46f8662b718d2a03335adf959f66d2d10ef94,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,26,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:d8e10b6d75ae992cdc59,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_27.pth,checkpoint_epoch_27.pth,97552805,d8e10b6d75ae992cdc59204b871ac2441e2e72624f07a8c8ffbbcdce480960b9,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,27,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
