experiment,source_file,architecture,component,initialization,external_pretraining,checkpoint_loaded,strict_load,fair_comparison
FINETUNE_ORIGINAL_MU30,finetune_mu=30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU30,finetune_mu=30.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU30,finetune_mu=30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU33,finetune_mu=33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU33,finetune_mu=33.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU33,finetune_mu=33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU40,finetune_mu=40.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU40,finetune_mu=40.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU40,finetune_mu=40.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU20,finetune_new/Finetune_VicReg_mu=20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU20,finetune_new/Finetune_VicReg_mu=20.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU23,finetune_new/Finetune_VicReg_mu=23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU23,finetune_new/Finetune_VicReg_mu=23.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU25,finetune_new/Finetune_VicReg_mu=25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU25,finetune_new/Finetune_VicReg_mu=25.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU27,finetune_new/Finetune_VicReg_mu=27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU27,finetune_new/Finetune_VicReg_mu=27.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU30,finetune_new/Finetune_VicReg_mu=30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU30,finetune_new/Finetune_VicReg_mu=30.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU33,finetune_new/Finetune_VicReg_mu=33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_ORIGINAL_MU33,finetune_new/Finetune_VicReg_mu=33.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU20,finetune_new/Finetune_VicReg_TinyImageNet_mu=20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU20,finetune_new/Finetune_VicReg_TinyImageNet_mu=20.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU23,finetune_new/Finetune_VicReg_TinyImageNet_mu=23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU23,finetune_new/Finetune_VicReg_TinyImageNet_mu=23.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU25,finetune_new/Finetune_VicReg_TinyImageNet_mu=25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU25,finetune_new/Finetune_VicReg_TinyImageNet_mu=25.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU27,finetune_new/Finetune_VicReg_TinyImageNet_mu=27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU27,finetune_new/Finetune_VicReg_TinyImageNet_mu=27.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU30,finetune_new/Finetune_VicReg_TinyImageNet_mu=30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU30,finetune_new/Finetune_VicReg_TinyImageNet_mu=30.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU33,finetune_new/Finetune_VicReg_TinyImageNet_mu=33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU33,finetune_new/Finetune_VicReg_TinyImageNet_mu=33.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU20,finetune_tinyImage_mu=20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU20,finetune_tinyImage_mu=20.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU20,finetune_tinyImage_mu=20.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU23,finetune_tinyImage_mu=23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU23,finetune_tinyImage_mu=23.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU23,finetune_tinyImage_mu=23.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
