checkpoint_id,source,relative_path,filename,size_bytes,sha256,top_level_keys,structure,epoch_if_available,model_name_if_available,mu_if_available,metric_if_available,optimizer_state_present,compatible_model,matching_legacy_sha256,suspected_notebook,status,inspect_error
sha256:94f99a3efdeb2094bb30,LOCAL,checkpoints_massive/best_model.pth,best_model.pth,32712893,94f99a3efdeb2094bb305b0362338eb053c17c8cb4b81f9529e95c45822894ed,stem.0.weight;stem.1.weight;stem.1.bias;stem.1.running_mean;stem.1.running_var;stem.1.num_batches_tracked;body.0.conv.0.weight;body.0.conv.1.weight;body.0.conv.1.bias;body.0.conv.1.running_mean;body.0.conv.1.running_var;body.0.conv.1.num_batches_tracked;body.0.conv.3.weight;body.0.conv.4.weight;body.0.conv.4.bias;body.0.conv.4.running_mean;body.0.conv.4.running_var;body.0.conv.4.num_batches_tracked;body.0.conv.6.weight;body.0.conv.7.weight;body.0.conv.7.bias;body.0.conv.7.running_mean;body.0.conv.7.running_var;body.0.conv.7.num_batches_tracked;body.0.se.1.weight;body.0.se.1.bias;body.0.se.3.weight;body.0.se.3.bias;body.1.conv.0.weight;body.1.conv.1.weight;body.1.conv.1.bias;body.1.conv.1.running_mean;body.1.conv.1.running_var;body.1.conv.1.num_batches_tracked;body.1.conv.3.weight;body.1.conv.4.weight;body.1.conv.4.bias;body.1.conv.4.running_mean;body.1.conv.4.running_var;body.1.conv.4.num_batches_tracked;body.1.conv.6.weight;body.1.conv.7.weight;body.1.conv.7.bias;body.1.conv.7.running_mean;body.1.conv.7.running_var;body.1.conv.7.num_batches_tracked;body.1.se.1.weight;body.1.se.1.bias;body.1.se.3.weight;body.1.se.3.bias;body.2.conv.0.weight;body.2.conv.1.weight;body.2.conv.1.bias;body.2.conv.1.running_mean;body.2.conv.1.running_var;body.2.conv.1.num_batches_tracked;body.2.conv.3.weight;body.2.conv.4.weight;body.2.conv.4.bias;body.2.conv.4.running_mean;body.2.conv.4.running_var;body.2.conv.4.num_batches_tracked;body.2.conv.6.weight;body.2.conv.7.weight;body.2.conv.7.bias;body.2.conv.7.running_mean;body.2.conv.7.running_var;body.2.conv.7.num_batches_tracked;body.2.se.1.weight;body.2.se.1.bias;body.2.se.3.weight;body.2.se.3.bias;body.3.conv.0.weight;body.3.conv.1.weight;body.3.conv.1.bias;body.3.conv.1.running_mean;body.3.conv.1.running_var;body.3.conv.1.num_batches_tracked;body.3.conv.3.weight;body.3.conv.4.weight;body.3.conv.4.bias;body.3.conv.4.running_mean;body.3.conv.4.running_var;body.3.conv.4.num_batches_tracked;body.3.conv.6.weight;body.3.conv.7.weight;body.3.conv.7.bias;body.3.conv.7.running_mean;body.3.conv.7.running_var;body.3.conv.7.num_batches_tracked;body.3.se.1.weight;body.3.se.1.bias;body.3.se.3.weight;body.3.se.3.bias;body.4.conv.0.weight;body.4.conv.1.weight;body.4.conv.1.bias;body.4.conv.1.running_mean;body.4.conv.1.running_var;body.4.conv.1.num_batches_tracked,raw_state_dict,,,,,False,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:1c0f48ec3967c407b556,LOCAL,checkpoints_massive/checkpoint_epoch_18.pth,checkpoint_epoch_18.pth,97552805,1c0f48ec3967c407b5568ec93530bce3ec5416d7145612dc4d8f77eddbe9d6da,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,18,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:c8364a22670a4a2828b4,LOCAL,checkpoints_massive/checkpoint_epoch_19.pth,checkpoint_epoch_19.pth,97552805,c8364a22670a4a2828b4289d64e4c1ad29e1f798ca503073bc675d1f5805a1b6,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,19,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:eac59ccc6573c6e37908,LOCAL,checkpoints_massive/checkpoint_epoch_2.pth,checkpoint_epoch_2.pth,97551360,eac59ccc6573c6e37908067c7cc24d22116415eaa5dffbbca50adbbe1d3ee0ab,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,2,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:88e311f1aa3dc2a35810,LOCAL,checkpoints_massive/checkpoint_epoch_20.pth,checkpoint_epoch_20.pth,97552805,88e311f1aa3dc2a35810e6ee0a0b2e72d660f0ce73ca744aaeb9bc275fe00c89,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,20,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:d9582d5e93d16dcd7faf,LOCAL,checkpoints_massive/checkpoint_epoch_21.pth,checkpoint_epoch_21.pth,97552805,d9582d5e93d16dcd7faf47f9861c99e42d49be77bf4654a0cfb0f3485d0db3cf,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,21,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:ef6f11507b33b11f5dec,LOCAL,checkpoints_massive/checkpoint_epoch_22.pth,checkpoint_epoch_22.pth,97552805,ef6f11507b33b11f5dec6f0dede64ebd1108b5907b32e1c690b0e0ec5955c441,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,22,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:48e72f29876acdcf7ce4,LOCAL,checkpoints_massive/checkpoint_epoch_23.pth,checkpoint_epoch_23.pth,97552805,48e72f29876acdcf7ce4890e81963a3d637bc2eb16f400b1bf15483323b825e2,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,23,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:efccae8c6981a33dd6df,LOCAL,checkpoints_massive/checkpoint_epoch_24.pth,checkpoint_epoch_24.pth,97552805,efccae8c6981a33dd6df69402ffa298ed6f7b575f33befe66bd2456b0a49b278,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,24,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:5baa1438e941721668ad,LOCAL,checkpoints_massive/checkpoint_epoch_25.pth,checkpoint_epoch_25.pth,97552805,5baa1438e941721668ade3754a6f65c4412202eb4f35346d4cafde6e8f83e3b1,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,25,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:e8cf8c9b08d9147ba9f3,LOCAL,checkpoints_massive/checkpoint_epoch_26.pth,checkpoint_epoch_26.pth,97552805,e8cf8c9b08d9147ba9f308e3cca46f8662b718d2a03335adf959f66d2d10ef94,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,26,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
