scope_c_artifact,scope_c_sha256,matched_scope,matched_path,matched_sha256,byte_identical,classification,lineage_implication
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_linear_reg_final_mu_2.0.pth,9bdddb94afe6c728b3c7d8f104e507a769a23d04861e8a279c76931b4f5dd3a2,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_linear_reg_final_mu_20.0.pth,212bbde1295facb9a7cb6a700330634138bf7f67b9df9f8c1798353ef423d525,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_linear_reg_final_mu_23.0.pth,1bee9b79321dfb7292a8ea8f5d02da5a9330a4c3e8bce1960f38ead0fdc6f36c,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_linear_reg_final_mu_25.0.pth,fee45784761218ce2cf63fc9678c8ba3ca621b7ce2744625665c47ca4d638259,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_linear_reg_final_mu_27.0.pth,c22c47ef53d5f8a030314e9a315ac482d266f129b7424b794c52c83841d15acd,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_linear_reg_final_mu_30.0.pth,c34163a620b9b14b5314ded00b4c9cd51688f31c36b285366ead681af9112fab,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_linear_reg_final_mu_33.0.pth,618a5e8a8f12dee48bc7b8f7d88f97205129171ca0bee6f2f7d7dcf49885d95c,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_linear_reg_final_mu_40.0.pth,dbe46bcaf48df21fcd751c36fb8ec67027b4a3fef8cc3f8479711900a1388aaa,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_linear_reg_final_mu_80.0.pth,68549a270f1f3700085a95c7ed1473e5657c736091b11a484cba4e2df4172958,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_mu_10.0.pth,df0307271fe5ea037b87242e957fea8b5219419ffeffd7b4550a058be47b53fc,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_mu_2.0.pth,15b9cf4e941cd4a4136f262be8caaa367d4def628a5c114ad00c075766630539,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_mu_20.0.pth,f71c572dbcaebbc6ba267ed4cf0451a9035954e66c5d2a41b65acd2fcb84a08b,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_mu_23.0.pth,a15c5bf0df93980b375770cd34968516624834a947b2c0c2a6a2da1b9e29df8a,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
