scope_c_artifact,scope_c_sha256,matched_scope,matched_path,matched_sha256,byte_identical,classification,lineage_implication
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_projector_final_mu_25.0.pth,1727d72c10a677f2d9a12014987f36639455bd9a636edbc1763e7b514b85d29a,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_projector_final_mu_27.0.pth,c26e9fdd99c61460011db32c06e236783e03c1ea24200e0776cd696ae3931a87,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_projector_final_mu_30.0.pth,7da47573ea30e2e27024ee0e1bfe96b2f75902bb489e5183b3cbc8dea28c404d,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg_tinyImagenet/vicreg_projector_final_mu_33.0.pth,41986dc5108c2806a34f87bc04db32683ab957a97a1079f4531d84b16e6235ed,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 3 SOTA/Code/trained_models_SOTA/efficientnet_b0_entire.pth,bccc3e541d769518c17659012c802d881906be1d54c9d08e87314c4c6243050f,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 3 SOTA/Code/trained_models_SOTA/efficientnet_b0_full.pth,beadb019c422f04deb03bf9bd7b3249a4c706065b483d55f24f80578b4ae4f20,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 3 SOTA/Code/trained_models_SOTA/mobilenetv2_100_entire.pth,ffaea3e09ddf0a5ce42c916fb2d9ceee6cebb2110239e5644eb0968362c8a033,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 3 SOTA/Code/trained_models_SOTA/mobilenetv2_100_full.pth,caff88e6b51dd5931ea6ddccb0787098b411293416d49112cfda6cbeaf98277c,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 3 SOTA/Code/trained_models_SOTA/mobilevit_s_entire.pth,9fc773653377f7c9967f29138156f49bfa08fd8b5d7adb31b90031b0ea592a52,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 3 SOTA/Code/trained_models_SOTA/mobilevit_s_full.pth,062605a40a2dca18d8d730aae8e6c346caa5c5800b93208331caaaa8106c1fd7,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 3 SOTA/Code/trained_models_SOTA/mobilevitv2_050_entire.pth,0b261d6ce716a84621504469e3c16d01a79e646857f0fe7356751d5de2257bba,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Experiment 3 SOTA/Code/trained_models_SOTA/mobilevitv2_050_full.pth,2dabd8c56d6c71afc13d7825040a03f730f2130a74609b3cfc200f61b9e591e5,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_20.pth,9ecab98fc4b0ba220f00361c011853456adce5900e9daba604c3ac359f25f020,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_23.pth,b041238df27a184e6b6c5e2a58feedd8f9f6b230d8bedc5003e04b22327185c0,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_25.pth,04ef87796b709daea2ab7b5f728db015e0d09db8105eb3d3b06e3e451105bbd6,LEGACY_GITHUB,Best_finetuned_VicReg_mu_25.pth,04ef87796b709daea2ab7b5f728db015e0d09db8105eb3d3b06e3e451105bbd6,True,EXACT_DUPLICATE_GITHUB,Same bytes across scopes; publish at most one approved copy.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_27.pth,c14cc5102545ddfbd0be60e611138309231ee185597c415043bb5f9dce188971,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_30.pth,1e1ca8c55be4f0707edc14187d855e561d154686f4386f93e6a2b1e97f08598d,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_mu_33.pth,b8375740dcf7c86541d00a282240e7c75eb786b3259177c27dbf0a5f18e7a4e1,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_20.pth,ea91a0d6daf19f43e3d46f4c0c6c7cd2917c03a93fd8edb2a57c56d032fdde7d,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_23.pth,4b166e851277f89fbdcab0b327c024ee8c72d8f96b042194b9ffd45624e82407,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_25.pth,9569f31e877280391ce1d9cb9b446e764e2c3ec5f0a55cbf7086391452aca522,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_27.pth,ce182aa77a2e1f5b00802f10ccd22acee7c1b8fe41e06141bccb221988f09127,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_30.pth,77747b41967faa23fc101e92372b55ca6467e37a2324dc041ab2634471b6ec82,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/finetune_update/Best_finetuned_VicReg_TinyImageNet_mu_33.pth,e6bf990dca8abdeb4d3be842f8ac9ab03bf6152541d8d06c9084cf26f3d79225,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/SoilNet_best.pth,7deb4cd4f16113fcffc64f656b81d362bada4e272f1876896093dcb684a1c890,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 2.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/SoilNet_orginal.pth,7fbfac2b637613c6f48b3fef6f2c56be07080eedfba73da1d2b553e0b41f3631,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/SoilNet_orginal_20_epoch_VicReg.pth,5a433a67acff306e295df862cceae1f008e08b1a9040eaac7c564a1f51b16d06,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/SoilNet_orginal_20_epoch_VicReg_finetuned.pth,ea4d3de46a4a3dd3a391f7408049513e5fdd9da66472d26836a49622aef86612,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/SoilNet_orginal_50_epoch_VicReg.pth,7a56300d74b5c91d10d671b248bbacf999058236bf5e14332dfd95405f774493,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/SoilNet_orginal_50_epoch_VicReg_finetuned.pth,53e9e7dbf9f3de67a15b55f01e21d451fa3350bcaa7cdca76c7c5cef0971423b,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/SoilNet_pretrained_20_epoch_VicReg.pth,aa10a820b137bd1c6c6a00d6c5ca7155e5fed26b81f675967821cfc3a5df47e5,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/SoilNet_pretrained_20_epoch_VicReg_finetuned.pth,9396a7066b541f46f5c5bd1f1a560d3aff2694f0194c0e591e6b8ec9e462014d,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/SoilNet_pretrained_50_epoch_VicReg.pth,bcec49ef83c779a716bd3eb04adb000cafc66c13cc5ae1e75ffe20cd2397664a,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/SoilNet_pretrained_50_epoch_VicReg_finetuned.pth,7deb4cd4f16113fcffc64f656b81d362bada4e272f1876896093dcb684a1c890,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 2.
Soil_Labeled_Data/soilNet_di chuyen tu o C/Model/Soilnet_pretrained_ImageNet.pth,ed726139b6411cae698b0eabc7a75888914270b1efa5b3ae45ff611bd760befc,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
