duplicate_group_id,relation,group_size,relative_path,sha256,perceptual_hash,threshold
phash:ef5e7404aeafdb0b,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_80_90/L_30_40/alluvial/IMG_0560_M_10_20_pale_yellow_M_40_50_dark_brown_M_60_70_wet_gray.jpg,bbbeb99822617d92d2d5814ead2b3adaf2bfe1c4edfaa247bc57ab4c1847e0b7,28ab295219319090,5
phash:ef5e7404aeafdb0b,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_80_90/L_30_40/alluvial/IMG_0560_M_10_20_pale_yellow_M_40_50_light_brown_M_50_60_dark_brown_M_70_80_clay_red.jpg,4eb79fae515df96b5e25ce0531445bd52d6d62f1f61bf391216e23645d85015b,a8ab295311211090,5
phash:ef5e7404aeafdb0b,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_80_90_L_30_40_01729.jpg,bbbeb99822617d92d2d5814ead2b3adaf2bfe1c4edfaa247bc57ab4c1847e0b7,28ab295219319090,5
phash:ef5e7404aeafdb0b,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_80_90_L_30_40_01730.jpg,4eb79fae515df96b5e25ce0531445bd52d6d62f1f61bf391216e23645d85015b,a8ab295311211090,5
phash:9f5f613117af89d1,EXACT,2,Soil_Labeled_Data/M_80_90/L_30_40/alluvial/IMG_0561_M_10_20_light_brown_M_40_50_dark_brown_M_60_70_clay_red.jpg,2d89a9b14e431ba348125f3c9904bd8bd6cd4dd23e238932edc3532b8cb6524a,020f456583010395,5
phash:9f5f613117af89d1,EXACT,2,unlabeled_images/M_80_90_L_30_40_01731.jpg,2d89a9b14e431ba348125f3c9904bd8bd6cd4dd23e238932edc3532b8cb6524a,020f456583010395,5
phash:a6382e81714b1124,EXACT,2,Soil_Labeled_Data/M_80_90/L_30_40/alluvial/z5716113728055_dd08551aa6ea83b557da7365c80ea990_M_30_40_pale_yellow_M_40_50_gray_brown_M_60_70_dark_brown_M_70_80_clay_red.jpg,ba7cc6818076373d745880d0794ba5e911777ed15c88998bd4a00d1ec310e33b,850a040e0c85e6c8,5
phash:a6382e81714b1124,EXACT,2,unlabeled_images/M_80_90_L_30_40_01735.jpg,ba7cc6818076373d745880d0794ba5e911777ed15c88998bd4a00d1ec310e33b,850a040e0c85e6c8,5
phash:9116ede5d92d6a98,EXACT,2,Soil_Labeled_Data/M_80_90/L_40_50/alluvial/IMG_0598_M_10_20_light_brown_M_40_50_gray_brown_M_50_60_clay_red_M_70_80_clay_red.jpg,996be9d74966d7ba855392f5b78480464d95364f422780aa5815dbd93ce1ada7,19042607c3ae1753,5
phash:9116ede5d92d6a98,EXACT,2,unlabeled_images/M_80_90_L_40_50_01746.jpg,996be9d74966d7ba855392f5b78480464d95364f422780aa5815dbd93ce1ada7,19042607c3ae1753,5
phash:bdc9d8b77fcfbfa7,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_80_90/L_40_50/alluvial/z5719914753588_0c56217f338c6ce291955ae9b10cce77_M_30_40_clayish_red_M_40_50_gray_brown_M_50_60_dark_brown_M_60_70_wet_gray.jpg,7f84252e0c8c2cd0272747c5388d76596599d0bde2e8f443eae3056449804bf6,090101292101c501,5
phash:bdc9d8b77fcfbfa7,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_80_90/L_40_50/alluvial/z5719914753588_0c56217f338c6ce291955ae9b10cce77_M_30_40_gray_brown_M_50_60_gray_brown_M_60_70_clay_red.jpg,e8fa927a1087e2d26a3102b9c5c16d06348504c4401e0cc361f0a4305fafbf3b,098181292001c581,5
phash:bdc9d8b77fcfbfa7,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_80_90_L_40_50_01747.jpg,7f84252e0c8c2cd0272747c5388d76596599d0bde2e8f443eae3056449804bf6,090101292101c501,5
