epoch,total_loss,regression_loss,classification_loss,validation_total_loss,validation_regression_loss,validation_classification_loss,validation_SM_0_rmse,validation_SM_0_mae,validation_SM_0_me,validation_SM_0_r2,validation_SM_20_rmse,validation_SM_20_mae,validation_SM_20_me,validation_SM_20_r2,validation_accuracy,validation_macro_f1,validation_macro_precision,validation_macro_recall,mean_regression_RMSE,is_best_regression
1,2.2522597150369124,0.07473167709328911,2.1775280399756,2.177280235290527,0.04901955518871546,2.128260684013367,21.752828536862612,17.025832212507517,4.110421151025897,0.4595424922776755,21.46232378334967,16.573970901924845,3.3742724504437827,0.4721364579897043,0.25259515570934254,0.2174958881430124,0.22433322767740466,0.22846829703064872,21.60757616010614,True
2,1.9593298733234406,0.04777889080684294,1.9115509743040258,2.010479235649109,0.048316878639161585,1.9621623873710632,20.14634973670454,14.861995978648276,-0.5728330029542058,0.5364219985202694,19.959907348539073,14.949014251207398,1.40263253512267,0.5434532823001774,0.29411764705882354,0.2520807884639208,0.27357273774612484,0.28417400732119186,20.053128542621806,True
3,1.7854924256151372,0.03721096688373522,1.7482814572074197,1.9397218823432922,0.041152005176991226,1.8985698461532592,19.65227233195773,14.685586195091062,0.878504969256972,0.5588811378823431,19.403046824294446,14.639747093293082,-0.00048826640039991754,0.5685722796027357,0.2975778546712803,0.24584969657912464,0.24921840481541974,0.2801456528665295,19.527659578126087,True
4,1.6626592847433956,0.031069376759908417,1.6315899139100856,1.9009506225585937,0.03878860287368298,1.8621620178222655,18.627894477968578,13.969712102289431,-2.4530119516445277,0.6036693868268621,18.666108663467238,14.05050284577901,-2.0723306755293613,0.6007216499526602,0.31833910034602075,0.2912176956734392,0.30349373550269354,0.3086235423845668,18.647001570717908,True
5,1.5372772975401445,0.026239404433660886,1.5110378888520328,1.7786309480667115,0.03324291296303272,1.7453880548477172,18.748592847745172,13.796292389965387,2.9634959978215836,0.5985167448307456,17.97900108086179,13.483752207772541,3.7482274461370024,0.6295758441682953,0.32525951557093424,0.2949586175710467,0.3354613127285596,0.30550624052890074,18.363796964303482,True
6,1.4224677275527606,0.024936094774271955,1.3975316421552137,1.6659310519695283,0.032224223203957084,1.6337068378925323,18.537668595386265,13.235283891428713,0.1058975649952476,0.6074994147204544,17.798280209702483,12.715428063201244,-1.147017714474028,0.6369852576243553,0.34256055363321797,0.3158599655792643,0.3403454715219421,0.3309179403707724,18.167974402544374,True
7,1.3431044925342908,0.021487262375144797,1.321617229418321,1.6878223776817323,0.029501909948885442,1.6583204686641693,16.582963890127616,11.993446285749389,1.2012536649472985,0.6859097963924483,16.849290907050175,12.12574731076465,1.4895520394854893,0.6746645115229988,0.4013840830449827,0.3590995047827069,0.36910175664216804,0.40305749286637926,16.716127398588895,True
8,1.2727835842154243,0.02082257173870775,1.2519610131328756,1.6657510280609131,0.03189187441021204,1.6338591575622559,17.55300680924023,12.744723011465634,0.04238146316633917,0.648088771977502,17.683661086548945,12.934115799240587,1.6123340072103851,0.6416457589683693,0.35986159169550175,0.34852060681441427,0.36762681072665904,0.3568312043061076,17.618333947894588,False
9,1.1788995360786265,0.018072839847511867,1.1608266952362927,1.6126298546791076,0.029768083617091178,1.5828617930412292,17.675105012939405,12.487333955339906,0.6861100666044493,0.6431759760780612,17.478312792567475,12.36020912843592,1.7348511606764216,0.6499200830862171,0.42560553633217996,0.4014055183589275,0.40427296777296784,0.42850169614054157,17.57670890275344,False
10,1.084940258752216,0.01638575078157539,1.0685545084151356,1.5489930510520935,0.02825339641422033,1.5207396507263184,17.18310441685186,11.716830228026764,-1.0274874471050646,0.662764458208758,16.78554661931196,11.724967976445559,0.9176655870614168,0.6771214755036887,0.43944636678200694,0.3954627492526338,0.4315560365560366,0.4325113730879683,16.98432551808191,False
11,1.0520136126063087,0.016717002430761404,1.0352966094558889,1.5030349433422088,0.022992148506455125,1.4800427973270416,15.657838165509412,10.972396423247446,1.4497939393594603,0.7199770148604892,15.993003395151431,11.142117752748376,2.915974770450262,0.7068916155992782,0.46366782006920415,0.430722672311396,0.4478063595030342,0.47223099387955764,15.825420780330422,True
12,1.0019247206774624,0.015354744507931173,0.9865699803287332,1.577750313282013,0.026094781048595906,1.5516555309295654,16.43673789984455,11.708498478760768,-1.3066616083098943,0.6914245714020038,16.29218562911655,11.412050856850964,-3.1245723306926476,0.6958226428835848,0.4532871972318339,0.44545005104762475,0.4845297919951019,0.46645251327691745,16.364461764480552,False
13,0.9155199392275377,0.014099456782622094,0.9014204862442884,1.5892796516418457,0.027347689587622882,1.5619319438934327,17.279546296574434,11.962150364186112,0.07339383326599755,0.6589682989329315,16.966506301718134,11.964050391244228,-2.644681807723425,0.670122246527414,0.4429065743944637,0.42691904328860086,0.4371284708896357,0.44111470246000534,17.123026299146282,False
14,0.9281355020674792,0.013354123728773133,0.9147813753648237,1.538612824678421,0.028496537450701,1.510116297006607,16.67053051454236,12.515301527861492,4.288909557368928,0.6825839209618111,16.698698747243657,12.503141320700465,5.587622860311225,0.6804539580261075,0.4186851211072664,0.39044817395064146,0.4063547855653118,0.4064060198463233,16.68461463089301,False
15,0.7823397137902,0.011287618333219805,0.7710520909591154,1.5351215660572053,0.022820413328008726,1.5123011350631714,16.122079695401634,11.307218757880188,-1.2671560845160568,0.7031259697921004,15.608937573410051,10.774097742918865,-2.2404618807729966,0.7208003495850782,0.43944636678200694,0.4213255347494216,0.4254793883249766,0.44024678002191714,15.865508634405842,False
16,0.7575341551141306,0.011261292182925072,0.7462728666988286,1.6141255736351012,0.026167948154034094,1.587957626581192,17.30308597181008,11.551698133194735,1.4630106926789332,0.658038500961232,16.704694028542143,11.605086765487302,1.2059052741238816,0.6802244656153985,0.44982698961937717,0.4333645987215201,0.4454508833776568,0.43392170719107775,17.003890000176114,False
17,0.7960625466975298,0.012042362930845808,0.7840201868252321,1.5899385333061218,0.025147644890239462,1.5647908926010132,17.057160430713832,11.194357722275809,0.33133567039529344,0.6676898936482214,16.252097192836267,11.110383281245776,-0.16799666064833274,0.6973177145268439,0.4359861591695502,0.4245672461418537,0.42997712372677677,0.4406604823111124,16.654628811775048,False
18,0.7463454814119772,0.011693072388879955,0.7346524101766673,1.64612974524498,0.02853430008981377,1.6175954222679139,18.059529859909027,13.228594154428858,0.010610232509956227,0.6274856893491478,17.35673986587113,12.836793166130885,-0.4384464763852552,0.6547732086292356,0.4740484429065744,0.44777172760581385,0.4571214018152164,0.47497743065212256,17.708134862890077,False
19,0.7135946384885095,0.012831972022964195,0.7007626647298987,1.5935838669538498,0.02379482947289944,1.569789046049118,16.29677405132209,11.343821390277375,-0.21007303218115572,0.6966574246988023,15.941200778298693,11.07144344605789,-1.1341199038556702,0.7087873434019858,0.4602076124567474,0.44317642660790924,0.4429180239366996,0.47191037469239594,16.11898741481039,False
20,0.6546784131364389,0.010735460715791718,0.6439429514787414,1.6316066920757293,0.023378195194527506,1.60822851061821,16.22798111830277,11.0248221245604,-1.5459454694833723,0.6992129956519867,15.642385504450822,11.033340609197385,0.40988380603724284,0.7196024901703717,0.46366782006920415,0.4544227681708862,0.4575879917184265,0.47822743292189906,15.935183311376795,False
21,0.6368431340564381,0.00978764983698387,0.6270554824308916,1.7093048989772797,0.029441524157300593,1.6798633694648744,18.140264755621253,12.183494128776669,-1.296139812593229,0.6241476036967389,17.90097205813165,11.823076696647492,-1.330877871352496,0.6327841551636342,0.4740484429065744,0.48014564153864453,0.49647244970388915,0.49605698978185425,18.02061840687645,False
22,0.658194709230553,0.01002531773834066,0.6481693915345452,1.6041393041610719,0.024956301506608724,1.5791830182075501,16.22005291366417,11.371619316533362,0.9426262902553518,0.6995068237481752,16.370771419603916,11.243422851430504,1.4810024446269632,0.6928811506325014,0.47750865051903113,0.4566170099945904,0.45878803982823985,0.46620017528820573,16.295412166634044,False
23,0.5988693386316299,0.008928107790945267,0.5899412306872281,1.625537098944187,0.026786809065379204,1.5987502589821816,17.502764224608796,12.1210416830741,1.3663779667298275,0.6501004643874935,16.73585144819414,11.551828746564661,3.1151036267462073,0.6790304692095365,0.4532871972318339,0.4279508906164583,0.4402235095432851,0.43684256240717323,17.119307836401468,False
24,0.5836506723002954,0.01072145980486477,0.572929213670167,1.6362097516655922,0.023814399633556603,1.6123953700065612,15.92649147006381,10.996751024236316,-1.1630668421517607,0.7102854494437149,16.503687179396,11.26615813962316,-1.254123419832606,0.6878738545711682,0.4740484429065744,0.4566458578511325,0.47253960892746677,0.46872354595707344,16.215089324729906,False
