model,experiment_id,n,SM0_RMSE,SM0_MAE,SM0_R2,SM0_ME,SM20_RMSE,SM20_MAE,SM20_R2,SM20_ME,mean_RMSE,mean_MAE,Accuracy,Macro_F1,Macro_Precision,Macro_Recall,regression_scale
P1_noSSL,P1_SOILNET_IMAGENET_LI_NO_SSL_BESTREG,231,16.663898624242883,12.876453713421181,0.6984304275283781,0.5933051914363713,16.57372838278886,12.834226079833456,0.7023698717792515,-1.8273504843443502,16.618813503515874,12.855339896627319,0.341991341991342,0.288570926950495,0.31552304245285295,0.3094031091457562,original_0_to_100_percentage_points
P2_MobileViTv2,P2_MOBILEVITV2_IMAGENET_LI_BESTREG,231,8.378747021917045,6.480418247577948,0.9237583219132508,-0.3304282772592652,8.88105485140969,6.957631275509343,0.9145394739338916,0.6097626714479356,8.629900936663368,6.719024761543645,0.6363636363636364,0.5895448242309791,0.6091711344211345,0.6006274975024974,original_0_to_100_percentage_points
