model,experiment_id,role,architecture,initialization,LI,VICReg,checkpoint_sha256,best_epoch,split_sha256,seed
P0,P0_FINAL_SOILNET_VICREG_MU27_LI_V4_BESTREG,primary_full_model,SoilNet,ImageNet then VICReg mu=27,True,True,eba009dfd45ec21174a8e40b16148e0455e902286c7db55933487221da761379,45,8927b8223b8c4c234d264ad9ea62ac2df6161124a79787a2e71eeb5cd23eae2f,20260905
P1_noLI,P1_SOILNET_VICREG_MU27_NO_LI_BESTREG,LI_ablation,SoilNet,ImageNet then VICReg mu=27,False,True,a9d8de995b0673e9ec39bfc4afac00d6a2a773ad9ffbea0027ff2d0c4fab820c,53,8927b8223b8c4c234d264ad9ea62ac2df6161124a79787a2e71eeb5cd23eae2f,20260905
P1_noSSL,P1_SOILNET_IMAGENET_LI_NO_SSL_BESTREG,VICReg_ablation_and_architecture_control,SoilNet,historical pre-VICReg ImageNet snapshot,True,False,50c0f15567ab71a87b04569790b9cc7afd016989e3899d56e1898d8a6fcfb044,52,8927b8223b8c4c234d264ad9ea62ac2df6161124a79787a2e71eeb5cd23eae2f,20260905
P2_MobileViTv2,P2_MOBILEVITV2_IMAGENET_LI_BESTREG,architecture_control_against_P1_noSSL,MobileViTv2-0.5 (timm mobilevitv2_050.cvnets_in1k),ImageNet CVNets weights,True,False,0a080d5129a2e57f1c2baf420b5af9aadf913fc0aab0d0050b6d662f24c28a8d,60,8927b8223b8c4c234d264ad9ea62ac2df6161124a79787a2e71eeb5cd23eae2f,20260905
