epoch,total_loss,regression_loss,classification_loss,validation_total_loss,validation_regression_loss,validation_classification_loss,validation_SM_0_rmse,validation_SM_0_mae,validation_SM_0_me,validation_SM_0_r2,validation_SM_20_rmse,validation_SM_20_mae,validation_SM_20_me,validation_SM_20_r2,validation_accuracy,validation_macro_f1,validation_macro_precision,validation_macro_recall,mean_regression_RMSE,is_best_regression
1,2.5966603322462602,0.3120945692062378,2.2845657576214182,2.5022631168365477,0.2285464784130454,2.273716616630554,43.03623057857935,34.82331081894855,-34.06381309393368,-1.1154293831762083,45.17994986400586,37.415468486664,-36.96139774533395,-1.3391586170730672,0.12802768166089964,0.10626029247399782,0.13435900165408363,0.14264968121263558,44.108090221292606,True
2,2.390812039375305,0.16315320870754393,2.2276588299057702,2.273251461982727,0.07282845005393028,2.200423014163971,26.938259495083106,20.978575490750245,-18.079860930211815,0.17116297109848877,25.873206230961493,19.980105034310924,-16.795833462765472,0.23287050118934782,0.17993079584775087,0.1343535747592613,0.14112353975368624,0.18557701871347582,26.4057328630223,True
3,2.1586704633452674,0.05281868107108907,2.105851774865931,2.0828152656555177,0.0323535627219826,2.0504617214202883,19.249461248288043,14.051210284645583,-3.8451579466823063,0.5767789707486346,18.47273447526043,13.714893240417164,-1.97432101391591,0.6089515594199955,0.2422145328719723,0.1854202271003238,0.17767468623008595,0.2354688202909653,18.861097861774237,True
4,1.936969510533593,0.026518168732185255,1.9104513336311688,1.863432264328003,0.02305436721071601,1.8403778791427612,15.935043540983552,11.903242218453167,-0.8680547446940597,0.7099742290341665,15.699811051783403,11.894502276780283,0.024467725654786845,0.7175399483844243,0.24567474048442905,0.19421333035957639,0.18535052910052913,0.24025245405749027,15.817427296383478,True
5,1.7090726440603083,0.0195874654984271,1.689485178752379,1.6512606680393218,0.019998813327401877,1.6312618672847747,14.853014287734695,10.963603580699248,-0.34364507932563965,0.7480239412958314,14.766032547131227,11.185588968666368,-0.18982226625858295,0.7501405236302128,0.28719723183391005,0.2400855746345739,0.24265239101491365,0.2777192376022862,14.80952341743296,True
6,1.4915369776162235,0.016699136171320624,1.4748378477313302,1.4733635365962983,0.015686685813125222,1.4576768338680268,13.225473375416012,9.716124551931467,-0.7888881302209874,0.800219759275966,13.067525322528654,10.015838493525363,0.08210113139301023,0.8043161954415168,0.370242214532872,0.34309710202490146,0.3427999924052555,0.3693106899611719,13.146499348972334,True
7,1.3264310143210671,0.014411023182963783,1.3120199983770198,1.354870820045471,0.013613826502114535,1.3412569880485534,12.10002204161041,9.234462087954617,-1.1423972535710847,0.8327745382383417,11.921485342793318,9.495486939448387,-0.7331208128830141,0.8371345659310004,0.370242214532872,0.3456329988054426,0.33755164766600154,0.37136965031491803,12.010753692201863,True
8,1.22970419309356,0.01376163616607135,1.2159425616264343,1.2787252724170686,0.011877951980568468,1.2668473094701767,11.488448138348511,8.689181429395214,-0.3019868462349717,0.8492515632883588,11.208981452721403,8.847124435497403,-0.5341765352598936,0.8560205587379419,0.3806228373702422,0.35992663875731806,0.36445674947094825,0.38115957284092156,11.348714795534956,True
9,1.1064928661693225,0.011407755018973892,1.0950851223685525,1.168071162700653,0.009528582345228642,1.1585425943136216,10.162200318794872,7.867370865336752,-0.2179900065425358,0.8820479253532671,10.296119428862655,8.148743456003988,0.7378563651989075,0.8785170510366085,0.43944636678200694,0.426114205636771,0.4612757103908419,0.4492215514003397,10.229159873828763,True
10,1.0211165696382523,0.009550841842693362,1.0115657272663983,1.1062663465738296,0.008746592019451781,1.0975197494029998,9.7675831090557,7.562669328752274,-1.150548898225012,0.8910306622983636,9.847219989495292,7.891693681169134,-0.647979952472304,0.8888791734016749,0.47750865051903113,0.4679147424650578,0.4821506380329909,0.4820253572248565,9.807401549275497,True
11,0.9815575317902998,0.010166764206422324,0.9713907715949145,1.084038645029068,0.010078622680157422,1.0739600196480752,10.273770059259578,7.885305361351753,0.8451918338821833,0.8794437407415869,10.341183901901813,7.990031699408297,0.6854453185850361,0.8774513008254918,0.49480968858131485,0.4954457048884474,0.5221751155502623,0.49617924609304775,10.307476980580695,False
12,0.9211438758806749,0.009469267150217836,0.9116746065291491,1.0386156916618348,0.009107679035514593,1.029508027434349,9.738958428663741,7.718045250354754,-0.6143345148093148,0.8916684130866918,9.73946617898042,7.820938556767665,-0.8235323826128224,0.8912977607944379,0.4809688581314879,0.46582852924316337,0.4814778884681544,0.4782371657122068,9.73921230382208,True
13,0.852561739358035,0.008547441716390576,0.8440142978321422,1.0104196801781655,0.008541379141388462,1.001878310739994,9.557268163595372,7.539208531895311,-0.3890447328866147,0.8956727824483053,9.819371918351484,7.856446755386141,0.17797585177174077,0.8895067870922592,0.5017301038062284,0.48905793846741313,0.502924870514607,0.49138849108373217,9.688320040973428,True
14,0.8554641868580471,0.00890288162256845,0.8465613038702444,0.9858846127986908,0.01115612054709345,0.9747284956276416,10.35319389815765,8.144850356356082,1.3279112499065464,0.8775725577326166,10.377749565341889,8.302338424438425,1.7340857372151939,0.8765831223062746,0.532871972318339,0.5229854001225406,0.5334404719545722,0.5253930794993792,10.36547173174977,False
15,0.7258659831502221,0.006979279648724266,0.7188867046074434,0.9536294937133789,0.008793316362425686,0.9448361910879612,9.875556022843806,7.5726453958910644,0.9742035348110133,0.8886082068688608,9.800950490092813,7.648917666768533,1.4474702392894916,0.8899209751964514,0.5501730103806228,0.5458759433497532,0.5507939786109244,0.5467521794406155,9.83825325646831,False
16,0.7026667174967852,0.006793302044653418,0.6958734142509374,0.9413529902696609,0.009126584773184732,0.9322264142334461,10.244306015571127,7.870910254729248,-1.539395817010873,0.8801342334018274,9.821133158701274,7.883163824625906,-1.058521748826578,0.8894671465614533,0.5605536332179931,0.5501139849152131,0.5630621608575518,0.5530102062604809,10.0327195871362,False
17,0.7013717645948584,0.007176921168469231,0.694194841791283,0.9098967522382736,0.009235735982656479,0.9006610162556171,10.113468531808484,7.847073068255784,-0.04935416218318741,0.8831764670446274,9.961907599040254,7.974411343414478,0.6934892964198103,0.8862757186572633,0.5709342560553633,0.5650245973617571,0.5840275936989828,0.5625027637066125,10.03768806542437,False
18,0.6886273527687247,0.007338259168053893,0.6812890923836015,0.8863512173295021,0.0097234909189865,0.8766277194023132,10.10994751333216,7.712079854778765,1.6630068437863386,0.8832577974433503,10.148071429879264,7.9613143990402815,1.7840588879626516,0.8819855426706366,0.6262975778546713,0.6153339035487595,0.6262790125083979,0.613727545575867,10.129009471605713,False
